# Codage des entrees de dictionnaire (organismes, antibiotiques, levures).
# Cle: category + dict_entry. status: proposed|validated.
# Codes SNOMED CT prerremplis (status=proposed) -> A VALIDER par un biologiste
# avant de passer status a validated. Un code vide = non code (a completer).
category;dict_entry;loinc;snomed;status
Bacteriology Antibiotics;Afipia sp.;;;proposed
Bacteriology Antibiotics;Amikacin 30μg-Aminoglycosides;;372515007;proposed
Bacteriology Antibiotics;Amoxicillin/Clavulanic acid 20/10μg-Beta-lactam+Inhibitors;;;proposed
Bacteriology Antibiotics;Ampicillin 10μg-Penicillins;;34014006;proposed
Bacteriology Antibiotics;Ampicillin 2μg-Penicillins;;34014006;proposed
Bacteriology Antibiotics;Azithromycin 15μg-Macrolides;;387531004;proposed
Bacteriology Antibiotics;Aztreonam 30μg-Monobactams;;15251003;proposed
Bacteriology Antibiotics;Cefepime 30μg-Cephems;;372733002;proposed
Bacteriology Antibiotics;Cefixime 5μg-Cephems-Oral;;372715009;proposed
Bacteriology Antibiotics;Cefotaxime 5μg-Cephems;;387533001;proposed
Bacteriology Antibiotics;Cefoxitin 30μg-Cephems;;373458009;proposed
Bacteriology Antibiotics;Ceftazidime 10μg-Cephems;;373528004;proposed
Bacteriology Antibiotics;Ceftriaxone 30μg-Cephems;;373510001;proposed
Bacteriology Antibiotics;Cefuroxime 30μg-Cephems;;;proposed
Bacteriology Antibiotics;Cephalothin 30μg-Cephems;;;proposed
Bacteriology Antibiotics;Chloramphenicol 30μg-Phenicols;;;proposed
Bacteriology Antibiotics;Ciprofloxacin 5μg-Quinolones;;372840008;proposed
Bacteriology Antibiotics;Clindamycin 2μg-Lincosamides;;372582002;proposed
Bacteriology Antibiotics;Colistin 10μg-Lipopeptides;;108682003;proposed
Bacteriology Antibiotics;Doripenem 10μg-Penems;;;proposed
Bacteriology Antibiotics;Ertapenem 10μg-Penems;;409306008;proposed
Bacteriology Antibiotics;Erythromycin 15μg-Macrolides;;372590004;proposed
Bacteriology Antibiotics;Fosfomycin 200μg-Fosfomycins;;108699000;proposed
Bacteriology Antibiotics;Fusidic acid 10μg-Steroidals;;371765003;proposed
Bacteriology Antibiotics;Gentamicin 10μg-Aminoglycosides;;372510001;proposed
Bacteriology Antibiotics;Gentamicin 30μg-Aminoglycosides;;372510001;proposed
Bacteriology Antibiotics;Imipenem 10μg-Penems;;65183007;proposed
Bacteriology Antibiotics;Levofloxacin 5μg-Quinolones;;372623005;proposed
Bacteriology Antibiotics;Mecillinam (Amdinocillin) 10μg-Penicillins;;;proposed
Bacteriology Antibiotics;Meropenem 10μg-Penems;;387012009;proposed
Bacteriology Antibiotics;Metronidazole 10μg-Nitroimidazoles;;372602008;proposed
Bacteriology Antibiotics;Minocycline 30μg-Tetracyclines;;372587003;proposed
Bacteriology Antibiotics;Moxifloxacin 5μg-Quinolones;;373568002;proposed
Bacteriology Antibiotics;Nalidixic acid 30μg-Quinolones;;372755005;proposed
Bacteriology Antibiotics;Netilmicin 10μg-Aminoglycosides;;372513000;proposed
Bacteriology Antibiotics;Nitrofurantoin 100μg-Nitrofurans;;371489001;proposed
Bacteriology Antibiotics;Nitroxoline 30μg-Quinolones;;;proposed
Bacteriology Antibiotics;Norfloxacin 10μg-Quinolones;;372695000;proposed
Bacteriology Antibiotics;Ofloxacin 5μg-Quinolones;;372699006;proposed
Bacteriology Antibiotics;Oxacillin 1μg-Penicillins;;387546007;proposed
